383498,209112
383498,155
383498,272
383498,49521
383498,263115
402900,1572
402900,75656
402900,949
402900,489931
402900,259316
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
363088,141052
363088,49521
363088,209112
363088,297762
363088,1924
454983,449176
454983,101299
454983,84892
454983,398181
454983,336843
293660,141052
293660,1924
293660,1452
293660,8536
293660,155
455980,460019
455980,489931
455980,260514
455980,445571
455980,353486
462919,15121
462919,621
462919,224141
462919,429417
462919,2976
283995,299536
283995,1924
283995,1452
283995,8536
283995,9738
354912,4011
354912,745
354912,254470
354912,6477
354912,472424
194662,98566
194662,155
194662,272
194662,363088
194662,263115
269149,101299
269149,338970
269149,346364
269149,278927
269149,27576
177572,479
177572,281957
177572,2048
177572,238636
177572,956
150540,812
150540,12092
150540,260513
150540,11360
150540,326359
455207,9880
455207,8966
455207,50124
455207,466282
455207,281957
93456,49519
93456,207703
93456,116711
93456,20352
93456,10054
400155,49017
400155,277
400155,76492
400155,7131
400155,124905
291805,467938
291805,260346
291805,281957
291805,241554
291805,101
487558,363676
487558,389015
487558,1883
487558,424
487558,769
98566,272
98566,604
98566,605
98566,1930
98566,68721
458423,224141
458423,11224
458423,15121
458423,10020
458423,11631
207703,1726
207703,102899
207703,99861
207703,10138
207703,10195
454619,3134
454619,281957
454619,357096
454619,156022
454619,238636
181533,122
181533,863
181533,1593
181533,131631
181533,137113
460668,2062
460668,694
460668,745
460668,453
460668,318
335797,260514
335797,258509
335797,9836
335797,9986
335797,9598
159824,76492
159824,9479
159824,671
159824,672
159824,675
474335,449749
474335,2300
474335,773
474335,1696
474335,340485
399174,387592
399174,531
399174,263109
399174,533
399174,530
808,809
808,10882
808,10140
808,10020
808,150689
18785,10029
18785,45243
18785,429733
18785,20289
18785,12593
437557,376660
437557,10735
437557,11631
437557,273153
437557,391713
353486,333339
353486,258489
353486,314095
353486,131631
353486,70160
214756,250546
214756,10193
214756,72105
214756,11932
214756,11187
420814,424
420814,769
420814,316029
420814,324786
420814,389015
507562,81
507562,378064
507562,129
507562,8392
507562,12429
270946,10140
270946,489929
270946,10527
270946,808
270946,812
166426,1865
166426,22
166426,58
166426,285
166426,71805
449176,376867
449176,398818
449176,26933
449176,511785
449176,184352
455656,19840
455656,10625
455656,9880
455656,2105
455656,449176
313369,10947
313369,2976
313369,705
313369,824
313369,6477
20352,342473
20352,309809
20352,20497
20352,19101
257445,767
257445,671
257445,674
257445,68728
257445,10140
257344,251516
257344,333339
257344,603
257344,604
257344,605
445571,275
445571,473149
445571,309809
445571,425591
445571,270487
585,62211
585,339404
585,1124
585,13374
585,55721
425,49519
425,387592
425,278154
425,675
425,10567
224141,10882
224141,808
224141,150689
224141,321612
224141,809
370567,1934
370567,10705
370567,91745
370567,297708
370567,10688
2062,6283
2062,308531
2062,10199
2062,10009
2062,212778
254470,114150
254470,6477
254470,290762
254470,786
608,607
608,601
608,840
608,395
608,817
260514,258509
260514,9986
260514,9598
260514,15171
62177,10144
62177,109445
62177,326359
62177,10555
62177,10895
41630,55721
41630,13
41630,862
41630,200727
41630,68718
310,604
310,311
310,6557
310,9946
310,59678
227159,483
227159,8067
227159,562
227159,1571
227159,769
418827,53932
418827,10068
418827,796
418827,28468
418827,345
106646,4771
106646,261023
106646,769
106646,398181
106646,339692
387592,49519
387592,278154
387592,86130
387592,22881
9880,449176
9880,50479
9880,286565
9880,674
339846,205775
339846,152747
339846,14372
339846,16314
339846,228165
364689,920
364689,6477
364689,2503
364689,25475
364689,1265
384677,769
384677,968
384677,2291
384677,7859
384677,18487
489929,238
489929,240
489929,272
489929,812
489929,209419
503619,419430
503619,14
503619,68
503619,935
503619,109414
